2014-07-20 16:15:05,409 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2014-07-20 16:15:05,412 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-07-20 16:15:05,413 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/hasher/Desktop/CommentsSatck/src/test/resources
2014-07-20 16:15:23,575 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-07-20 16:15:23,577 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2014-07-20 16:15:23,581 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-07-20 16:15:23,582 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/hasher/Desktop/CommentsSatck/src/test/resources
2014-07-20 16:15:28,987 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-07-20 16:15:28,989 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2014-07-20 16:15:28,991 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-07-20 16:15:28,992 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/hasher/Desktop/CommentsSatck/src/test/resources
2014-07-20 16:15:40,913 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-07-20 16:15:40,915 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2014-07-20 16:15:40,918 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
